Team,OPGS MP,OPGS FG,OPGS FGA,OPGS FG%,OPGS 3P,OPGS 3PA,OPGS 3P%,OPGS 2P,OPGS 2PA,OPGS 2P%,OPGS FT,OPGS FTA,OPGS FT%,OPGS ORB,OPGS DRB,OPGS TRB,OPGS AST,OPGS STL,OPGS BLK,OPGS TOV,OPGS PF,OPGS PTS
Cleveland Cavaliers,242.4,39,83.5,0.468,11.3,30.6,0.368,27.8,52.9,0.525,17.5,22.4,0.782,9.8,31.5,41.2,23,7,4.4,15.7,20.4,106.9
Miami Heat,241.5,40.1,83.2,0.482,13.1,35.8,0.367,27,47.4,0.569,16.5,21.1,0.781,8.9,33,41.8,25.6,7,3.8,15.7,20,109.8
Philadelphia 76ers,242.4,40.4,85.4,0.473,11.6,33.4,0.348,28.8,52.1,0.553,18.5,23.7,0.781,9.5,31.6,41.2,24.2,6.6,4.6,14.3,19.6,110.9
Boston Celtics,243.7,41.8,90.2,0.463,11.6,33.7,0.345,30.1,56.5,0.534,16.2,21.1,0.769,9.7,34.3,44,23.1,6.6,3.9,12.7,19.1,111.4
Toronto Raptors,241.5,40.4,82.3,0.491,12.2,32.6,0.374,28.2,49.7,0.567,18.4,23.1,0.797,9.2,33,42.3,26.2,6,4.6,16.7,19.6,111.4
Phoenix Suns,241.2,40,85.9,0.466,11.4,32,0.357,28.6,53.9,0.53,20.1,25.6,0.786,10.2,32.6,42.9,23.4,7.2,4,14.4,19.9,111.6
Chicago Bulls,242.7,40.7,87.1,0.468,13.2,37.1,0.357,27.5,50,0.55,17.1,22,0.779,9.6,33.7,43.3,26,6.7,4.7,15,18.7,111.8
Denver Nuggets,240.9,41.7,87.4,0.478,11.4,33.1,0.344,30.4,54.3,0.559,17.6,22.7,0.775,10.1,30.7,40.8,25.7,7.9,4.2,13.5,19.5,112.5
Brooklyn Nets,240.6,41,88.5,0.463,11.8,32.2,0.367,29.2,56.3,0.518,18.7,24.4,0.767,11.5,33.6,45.1,23.4,7,3.9,13.7,18.5,112.5
New Orleans Pelicans,242.1,40.9,86.6,0.472,12.2,36,0.339,28.7,50.6,0.567,18.4,23.6,0.779,9.7,32.1,41.8,24.9,7.3,4.7,15,20.4,112.5
Memphis Grizzlies,241.2,40.7,89.8,0.453,13,36.6,0.355,27.7,53.3,0.521,18.5,23.5,0.787,11,33.4,44.4,26.4,6.8,5.2,15.1,20,113
New York Knicks,243.4,40.8,88.2,0.462,13,36.5,0.357,27.7,51.7,0.537,18.5,23.7,0.782,10.1,31.9,42,25.1,6,4.5,12.7,20.7,113.1
